tz,total,male,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
160,19605,0.505330272889569,0.18954348380515174,0.5708237694465698,0.2396327467482785,0.8180056108135679,0.06712573323131854,0.0934965570007651,0.007600102014792145,0.013771996939556235,0.0959959194083142,0.16312165263963274,0.22269829125223156,0.3286406528946697
161,2265,0.5827814569536424,0.21368653421633554,0.519205298013245,0.2671081677704194,0.7483443708609272,0.10596026490066225,0.11567328918322296,0.0075055187637969095,0.022516556291390728,0.07549668874172186,0.14966887417218544,0.1977924944812362,0.363355408388521
162,3755,0.5331557922769641,0.28761651131824234,0.5339547270306259,0.17842876165113183,0.7512649800266311,0.07350199733688416,0.14700399467376832,0.00825565912117177,0.019973368841544607,0.06311584553928096,0.12010652463382157,0.1736351531291611,0.355525965379494
163,4409,0.5227942844182354,0.20458153776366522,0.5422998412338399,0.2531186210024949,0.7734180086187344,0.06826944885461556,0.13517804490814245,0.007031072805624858,0.01610342481288274,0.07053753685643004,0.12451803129961443,0.2059423905647539,0.3944205035155364
164,5311,0.5257013745057428,0.2807380907550367,0.5539446431933722,0.16531726605159103,0.6947844097156844,0.08077574844662022,0.19469026548672566,0.009979288269629072,0.019770288081340615,0.07154961400866126,0.12238749764639427,0.17190736207870458,0.35341743551120314
165,23631,0.4730227243874571,0.2181456561296602,0.5191485760230206,0.2627057678473192,0.7782150564935889,0.11269095679404173,0.08768143540264907,0.006728449917481274,0.014684101392239008,0.09504464474630782,0.16516440269137997,0.2182302907198172,0.30341500571283486
166,14946,0.4924394486819216,0.23203532717784023,0.5260270306436505,0.2419376421785093,0.6871403720058878,0.1758999063294527,0.1069182389937107,0.00909942459520942,0.020942058075739328,0.09012444801284625,0.14431955038137295,0.2099558410276997,0.3235648334002409
167,14820,0.4479757085020243,0.25823211875843455,0.5673414304993253,0.17442645074224022,0.4876518218623482,0.4412280701754386,0.03427800269905533,0.016059379217273954,0.02078272604588394,0.16869095816464239,0.19271255060728745,0.22483130904183535,0.15553306342780027
168,18667,0.47784860984625277,0.2860127497723255,0.5535972571918358,0.16038999303583865,0.5626506669523759,0.3598328601274977,0.03798146461670327,0.017785396689344833,0.02174961161407832,0.16746129533401188,0.18385385975250443,0.21085337761825682,0.15181871752290138
169,20466,0.483484804065279,0.2666373497508062,0.5374279292485097,0.19593472100068407,0.5674777680054724,0.34359425388449133,0.050376233753542464,0.014853904035962083,0.023697840320531613,0.166862112772403,0.18327958565425584,0.2167497312616046,0.16647122056093033
170,14419,0.4839447950620709,0.32595880435536445,0.5064151466814619,0.1676260489631736,0.7870864831125598,0.05180664401137388,0.1412719328663569,0.006311117275816631,0.013523822733892781,0.05777099660170608,0.10562452319855746,0.16866634301962688,0.34197933282474513
171,21295,0.4918055881662362,0.1891993425686781,0.5517727166001409,0.259027940831181,0.5412068560694999,0.07147217656726931,0.36290208969241605,0.007936135243014793,0.016482742427799953,0.12416060108006574,0.16149330828833058,0.21310166705799483,0.3120450810049307
