capacity,lat,lon,name,short_name,station_id
23,40.6765304,-73.97846879,Berkeley Pl & 6 Ave,4134.06,3339
21,40.6753274,-74.0100698,Wolcott St & Dwight St,4054.02,3340
41,40.795346,-73.96186,Central Park West & W 102 St,7577.24,3341
23,40.677774799999995,-74.0094613,Pioneer St & Richards St,4128.08,3342
23,40.7997568,-73.9621128676,W 107 St & Columbus Ave,7619.05,3343
19,40.679043,-74.011169,Pioneer St & Van Brunt St,4169.04,3344
35,40.78948541553215,-73.9524292945862,Madison Ave & E 99 St,7443.01,3345
29,40.675146838709786,-73.9752320945263,Berkeley Pl & 7 Ave,4051.01,3346
21,40.6773429,-74.01275056,Van Brunt St & Wolcott St,4095.03,3347
19,40.677236,-74.015665,Coffey St & Conover St,4137.10,3348
30,40.6729679,-73.97087984,Grand Army Plaza & Plaza St West,4010.15,3349
39,40.797372100000004,-73.97041192,W 100 St & Broadway,7580.01,3350
25,40.7869946,-73.94164802,E 102 St & 1 Ave,7407.13,3351
21,40.67267243410948,-74.00879524648191,Sigourney St & Columbia St,3940.04,3352
31,40.668132,-73.97363831,3 St & Prospect Park West,3865.05,3354
25,40.768008893059466,-73.96845281124116,E 66 St & Madison Ave,6969.08,3355
21,40.7746671,-73.98470567,Amsterdam Ave & W 66 St,7149.05,3356
35,40.80083629999999,-73.9664492472,W 106 St & Amsterdam Ave,7634.01,3357
25,40.671197799999995,-73.97484126,Garfield Pl & 8 Ave,3978.13,3358
35,40.7691572,-73.96703464,E 68 St & Madison Ave,6932.15,3359
25,40.7829391,-73.9786517,Amsterdam Ave & W 79 St,7311.02,3360
23,40.6740886,-73.9787282,Carroll St & 6 Ave,4019.06,3361
34,40.7781314,-73.96069399,Madison Ave & E 82 St,7188.13,3362
33,40.7904828,-73.95033068,E 102 St & Park Ave,7488.24,3363
27,40.6751622,-73.9814832,Carroll St & 5 Ave,4060.09,3364
27,40.67038370000001,-73.97839676,3 St & 7 Ave,3905.15,3365
31,40.8021174,-73.9681805305,West End Ave & W 107 St,7650.05,3366
39,40.792255299999994,-73.95249933,5 Ave & E 103 St,7511.19,3367
30,40.672815500000006,-73.98352355,5 Ave & 3 St,3987.06,3368
29,40.7724607,-73.9468208,E 82 St & East End Ave,7049.04,3369
25,40.7727966,-73.95577801,E 78 St & 2 Ave,7057.07,3370
27,40.674613422475815,-73.98501142859459,4 Ave & 2 St,4028.05,3371
39,40.7689738,-73.95482273,E 74 St & 1 Ave,6953.08,3372
27,40.675070500000004,-73.98775226,3 St & 3 Ave,4028.03,3373
36,40.799484,-73.955613,Central Park North & Adam Clayton Powell Blvd,7617.07,3374
35,40.7699426,-73.96060712,3 Ave & E 72 St,7028.04,3375
39,40.76471851944339,-73.96222069859505,E 65 St & 2 Ave,6860.12,3376
25,40.6786115,-73.99037292,Carroll St & Bond St,4184.07,3377
28,40.773763,-73.96222088,E 76 St & Park Ave,7128.08,3378
35,40.790305100000005,-73.94755757,E 103 St & Lexington Ave,7463.09,3379
21,40.6777287,-73.99364123,3 St & Hoyt St,4110.10,3381
31,40.680611,-73.99475825,Carroll St & Smith St,4225.14,3382
25,40.804213,-73.96699104,Cathedral Pkwy & Broadway,7680.03,3383
25,40.678724200000005,-73.99599099,Smith St & 3 St,4151.01,3384
27,40.6809591,-73.99905709,1 Pl & Clinton St,4193.14,3386
25,40.79343370000001,-73.94945003,E 106 St & Madison Ave,7528.31,3387
25,40.6828003,-73.99990419,President St & Henry St,4307.13,3388
28,40.6830456,-74.00348559,Carroll St & Columbia St,4348.07,3389
24,40.79329668,-73.9432083,E 109 St & 3 Ave,7504.12,3390
25,40.7892529,-73.93956237,E 106 St & 1 Ave,7456.03,3391
19,40.681211700000006,-74.00860912,Commerce St & Van Brunt St,4243.01,3392
19,40.67943270000001,-74.00785041,Richards St & Delavan St,4202.04,3393
21,40.6769993,-74.00647134,Columbia St & W 9 St,4086.05,3394
25,40.6783563,-74.00014502,Clinton St & 4 Place,4119.04,3396
25,40.6763947,-73.99869893,Court St & Nelson St,4077.07,3397
23,40.67469570000001,-73.99785768,Smith St & 9 St,4077.04,3398
24,40.67260298150126,-73.98983001708984,7 St & 3 Ave,3996.01,3399
24,40.796153499999996,-73.94782145,E 110 St & Madison Ave,7587.14,3400
19,40.6724811,-73.99331394,2 Ave & 9 St,3996.04,3401
23,40.6902375,-73.99203074,Court St & State St,4488.08,3402
31,40.6705135,-73.98876585,4 Ave & 9 St,3955.05,3403
27,40.670492200000005,-73.98541675,7 St & 5 Ave,3914.02,3404
23,40.670483600000004,-73.98208968,5 St & 6 Ave,3874.01,3405
23,40.67909799721684,-73.98765474557877,Union St & Nevins St,4143.03,3407
27,40.6881529,-73.99520919,Congress St & Clinton St,4455.07,3408
35,40.686744299999994,-73.99063168,Bergen St & Smith St,4446.01,3409
31,40.686444200000004,-73.98759104,Dean St & Hoyt St,4446.05,3410
27,40.6849668,-73.98620772,Bond St & Bergen St,4404.10,3411
18,40.6853761,-73.98302136,Pacific St & Nevins St,4362.04,3412
