capacity,lat,lon,name,short_name,station_id,empytCount_0,empytCount_1,empytCount_2,empytCount_3,empytCount_4,empytCount_5,empytCount_6,empytCount_7,empytCount_8,empytCount_9,empytCount_10,empytCount_11,empytCount_12,empytCount_13,empytCount_14,empytCount_15,empytCount_16,empytCount_17,empytCount_18,empytCount_19,empytCount_20,empytCount_21,empytCount_22,empytCount_23
27,40.74937024193277,-73.99923384189607,9 Ave & W 28 St,6416.08,3259,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,15.0,21.0,30.0,24.0,20.0,4.0,5.0,0.0,2.0,4.0,2.0,1.0
31,40.72706363348306,-73.99662137031554,Mercer St & Bleecker St,5679.05,3260,5.0,6.0,2.0,18.0,39.0,30.0,0.0,38.0,0.0,3.0,7.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
59,40.729514962249496,-73.99075269699097,Cooper Square & Astor Pl,5712.03,3263,3.0,1.0,6.0,11.0,14.0,31.0,27.0,8.0,13.0,0.0,2.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0
14,40.7124188237569,-74.03852552175522,Morris Canal,JC072,3267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,31.0,7.0,9.0,0.0,11.0,19.0,0.0,1.0,1.0,0.0,0.0
14,40.71346382669195,-74.06285852193831,Lafayette Park,JC078,3268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,43.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
14,40.726011729646245,-74.0503889322281,Brunswick & 6th,JC081,3269,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,35.0,24.0,62.0,15.0,1.0,4.0,13.0,0.0,4.0,1.0,4.0,5.0
14,40.72528910781132,-74.04557168483734,Jersey & 6th St,JC027,3270,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,61.0,32.0,6.0,28.0,0.0,0.0,6.0,13.0,7.0,3.0,22.0,3.0
14,40.723331586464354,-74.04595255851744,Jersey & 3rd,JC074,3272,9.0,18.0,5.0,52.0,24.0,0.0,0.0,59.0,17.0,0.0,0.0,31.0,12.0,16.0,36.0,19.0,16.0,7.0,25.0,1.0,19.0,0.0,3.0,2.0
18,40.72165072487999,-74.04288411140442,Manila & 1st,JC082,3273,104.0,72.0,107.0,54.0,35.0,0.0,0.0,64.0,78.0,17.0,6.0,3.0,4.0,5.0,4.0,6.0,14.0,8.0,9.0,0.0,3.0,4.0,11.0,20.0
14,40.71835519823214,-74.03891444206238,Columbus Drive,JC014,3275,29.0,96.0,32.0,2.0,0.0,0.0,0.0,23.0,26.0,0.0,0.0,11.0,24.0,7.0,8.0,8.0,10.0,24.0,0.0,0.0,8.0,0.0,5.0,9.0
26,40.71458403535893,-74.04281705617905,Marin Light Rail,JC013,3276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,52.0,5.0,4.0,0.0,12.0,7.0,4.0,0.0,3.0,0.0,1.0
14,40.71435836870427,-74.06661093235016,Communipaw & Berry Lane,JC084,3277,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,6.0,0.0,19.0,0.0,0.0,0.0
14,40.72568548362901,-74.0487903356552,Monmouth and 6th,JC075,3278,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,76.0,39.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,7.0
18,40.72163014263835,-74.04996782541275,Dixon Mills,JC076,3279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,61.0,34.0,7.0,48.0,3.0,29.0,3.0,8.0,11.0,0.0,0.0,0.0
14,40.71928220070703,-74.07126188278198,Astor Place,JC077,3280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,22.0,25.0,0.0,9.0,1.0,16.0,0.0,0.0,0.0,0.0
14,40.74590996631558,-74.05727148056029,Leonard Gordon Park,JC080,3281,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,40.0,22.0,6.0,0.0,0.0,23.0,4.0,8.0,8.0,0.0,0.0
38,40.78307,-73.95939,5 Ave & E 88 St,7323.10,3282,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,5.0,1.0,3.0,5.0,6.0,2.0,7.0,5.0,8.0,3.0
47,40.7882213,-73.97041561,W 89 St & Columbus Ave,7432.09,3283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,21.0,7.0,15.0,15.0,12.0,8.0,13.0,8.0,0.0,1.0
38,40.781410700190015,-73.95595908164978,E 88 St & Park Ave,7293.10,3284,1.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,27.0,35.0,29.0,36.0,15.0,44.0,13.0,15.0,1.0,28.0,1.0,0.0
