is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,eightd_has_available_keys,id_num
1,1,1,1541437092,2,0,39,0,0,3135,False,
1,1,1,1541436965,38,2,6,1,0,3136,False,
1,1,1,1541435039,9,1,21,0,0,3137,False,
1,1,1,1541436459,0,1,42,0,0,3139,False,
1,1,1,1541436987,1,2,52,0,0,3140,False,
1,1,1,1541437060,31,0,28,0,0,3141,False,
1,1,1,1541436360,1,0,40,0,0,3142,False,
1,1,1,1541436970,8,2,36,1,0,3143,False,
1,1,1,1541428031,1,0,45,0,0,3144,False,
1,1,1,1541436844,3,0,40,2,0,3145,False,
1,1,1,1541436864,10,1,36,0,0,3146,False,
1,1,1,1541435540,0,1,38,0,0,3147,False,
1,1,1,1541436481,0,0,31,0,0,3148,False,
1,1,1,1541433161,1,0,46,0,0,3150,False,
1,1,1,1541435373,0,0,42,1,0,3151,False,
1,1,1,1541436722,8,3,29,2,0,3152,False,
1,1,1,1541435657,5,0,32,0,0,3153,False,
1,1,1,1541436555,1,1,29,0,0,3154,False,
1,1,1,1541436585,7,1,31,0,0,3155,False,
1,1,1,1541437052,24,1,12,0,0,3156,False,
1,1,1,1541424874,0,1,26,0,0,3157,False,
1,1,1,1541436874,16,2,13,0,0,3158,False,
1,1,1,1541436196,1,0,28,2,0,3159,False,
1,0,0,1541230139,0,0,39,0,0,3160,False,
1,1,1,1541437022,3,0,53,3,1,3161,False,
1,1,1,1541435177,18,0,21,0,0,3162,False,
1,0,0,1540709544,0,0,43,0,0,3163,True,
1,1,1,1541437075,15,5,47,0,0,3164,False,
1,0,0,1541223706,0,0,48,3,0,3165,True,
1,1,1,1541436996,7,1,32,1,0,3166,False,
1,1,1,1541436491,26,6,13,10,0,3167,False,
1,0,0,1541234992,0,1,30,0,0,3168,True,
1,1,1,1541428708,26,0,12,1,0,3169,False,
1,1,1,1541437083,29,0,5,1,0,3170,False,
1,1,1,1541436892,9,1,29,0,0,3171,False,
1,1,1,1541436093,1,0,26,0,0,3172,False,
1,1,1,1541434236,4,1,34,0,0,3173,False,
1,1,1,1541435483,1,0,29,1,0,3175,False,
1,1,1,1541436810,15,1,46,1,0,3177,False,
1,1,1,1541435137,13,0,25,1,0,3178,False,
1,1,1,1541436248,4,0,19,0,0,3179,False,
0,0,0,1,0,0,0,0,0,3180,False,
1,1,1,1541431420,17,1,12,0,0,3183,False,
1,1,1,1541437074,13,1,0,0,0,3184,False,
1,1,1,1541429245,18,0,4,0,0,3185,False,
1,1,1,1541436412,21,2,19,0,0,3186,False,
1,1,1,1541432822,7,0,15,0,0,3187,False,
1,1,1,1541425408,5,2,11,0,0,3191,False,
1,1,1,1541435653,12,1,9,0,0,3192,False,
1,1,1,1541424552,13,1,4,0,0,3193,False,
1,1,1,1541433933,5,0,16,1,0,3194,False,
1,1,1,1541433669,29,2,6,1,0,3195,False,
1,1,1,1541421415,4,1,13,0,0,3196,False,
1,1,1,1541422000,11,2,5,0,0,3198,False,
